case_code,market_name,addr,business_week,context,ValidDate,Latitude,Lontitude,type,badge_code,business_hours,business_hurs_end,last_edited_date
2020113000055,摩斯漢堡-新光醫院店,臺北市士林區文昌路95號B3樓,星期一，星期二，星期三，星期四，星期五，星期六，星期日,安心食品為台灣第一家引進的日式速食業者（MOS），以提供好吃的摩斯米漢 堡為特色，深耕在地，邁入第29個年頭。摩斯漢堡極度重視食品安全，以高規格、 高品質致力於提升顧客服務與維護顧客飲食健康。,2026/12/02 00:00:00,25.09624,121.520289,餐飲,B000317,07:00,22:00,2024/05/02 10:30:10
2020113000057,摩斯漢堡-中研院店,臺北市南港區研究院路二段128號1樓(微風美饌廣場內),星期一，星期二，星期三，星期四，星期五，星期六，星期日,安心食品為台灣第一家引進的日式速食業者（MOS），以提供好吃的摩斯米漢 堡為特色，深耕在地，邁入第29個年頭。摩斯漢堡極度重視食品安全，以高規格、 高品質致力於提升顧客服務與維護顧客飲食健康。,2026/12/02 00:00:00,25.04202,121.616663,餐飲,B000326,07:00,20:30,2024/05/02 10:30:11
2020113000054,摩斯漢堡-桃園中平店,桃園市桃園區中平路98號,星期一，星期二，星期三，星期四，星期五，星期六，星期日,安心食品為台灣第一家引進的日式速食業者（MOS），以提供好吃的摩斯米漢 堡為特色，深耕在地，邁入第29個年頭。摩斯漢堡極度重視食品安全，以高規格、 高品質致力於提升顧客服務與維護顧客飲食健康。,2026/12/03 00:00:00,24.987598,121.292623,餐飲,B000583,09:00,21:00,2024/05/02 10:30:10
2020113000053,摩斯漢堡-家福重新店,新北市三重區重新路五段654號1樓,星期一，星期二，星期三，星期四，星期五，星期六，星期日,安心食品為台灣第一家引進的日式速食業者（MOS），以提供好吃的摩斯米漢 堡為特色，深耕在地，邁入第29個年頭。摩斯漢堡極度重視食品安全，以高規格、 高品質致力於提升顧客服務與維護顧客飲食健康。,2026/12/02 00:00:00,25.04307,121.467123,餐飲,B000296,06:00,22:00,2024/05/02 10:30:09
2020113000052,摩斯漢堡-泰山全興店,新北市泰山區全興路115號1、2樓,星期一，星期二，星期三，星期四，星期五，星期六，星期日,安心食品為台灣第一家引進的日式速食業者（MOS），以提供好吃的摩斯米漢 堡為特色，深耕在地，邁入第29個年頭。摩斯漢堡極度重視食品安全，以高規格、 高品質致力於提升顧客服務與維護顧客飲食健康。,2026/12/02 00:00:00,25.056456,121.433978,餐飲,B000473,10:00,23:00,2024/05/02 10:30:09
2020113000051,摩斯漢堡-和平建國店,臺北市大安區和平東路二段49-1號,星期一，星期二，星期三，星期四，星期五，星期六，星期日,安心食品為台灣第一家引進的日式速食業者（MOS），以提供好吃的摩斯米漢 堡為特色，深耕在地，邁入第29個年頭。摩斯漢堡極度重視食品安全，以高規格、 高品質致力於提升顧客服務與維護顧客飲食健康。,2026/12/02 00:00:00,25.025769,121.538245,餐飲,B000469,06:00,22:00,2024/05/02 10:30:09
2020113000049,摩斯漢堡-台中西屯店,臺中市北區西屯路一段363-1號1、2樓,星期一，星期二，星期三，星期四，星期五，星期六，星期日,安心食品為台灣第一家引進的日式速食業者（MOS），以提供好吃的摩斯米漢 堡為特色，深耕在地，邁入第29個年頭。摩斯漢堡極度重視食品安全，以高規格、 高品質致力於提升顧客服務與維護顧客飲食健康。,2026/12/02 00:00:00,24.161079,120.664641,餐飲,B000456,07:00,22:00,2024/05/02 10:30:08
2020113000047,摩斯漢堡-中壢服務區店,桃園市中壢區內定二街9985之3號,星期一，星期二，星期三，星期四，星期五，星期六，星期日,安心食品為台灣第一家引進的日式速食業者（MOS），以提供好吃的摩斯米漢 堡為特色，深耕在地，邁入第29個年頭。摩斯漢堡極度重視食品安全，以高規格、 高品質致力於提升顧客服務與維護顧客飲食健康。,2026/12/02 00:00:00,24.993017,121.254782,餐飲,B000444,08:00,21:00,2024/05/02 10:30:07
2020113000046,摩斯漢堡-仁德服務區店,臺南市仁德區中洲路1巷220號,星期一，星期二，星期三，星期四，星期五，星期六，星期日,安心食品為台灣第一家引進的日式速食業者（MOS），以提供好吃的摩斯米漢 堡為特色，深耕在地，邁入第29個年頭。摩斯漢堡極度重視食品安全，以高規格、 高品質致力於提升顧客服務與維護顧客飲食健康。,2026/12/02 00:00:00,22.905764,120.264956,餐飲,B000424,10:00,20:00,2024/05/02 10:30:07
2020113000045,摩斯漢堡-蘇澳服務區店,宜蘭縣蘇澳鎮蘇新路81號,星期一，星期二，星期三，星期四，星期五，星期六，星期日,安心食品為台灣第一家引進的日式速食業者（MOS），以提供好吃的摩斯米漢 堡為特色，深耕在地，邁入第29個年頭。摩斯漢堡極度重視食品安全，以高規格、 高品質致力於提升顧客服務與維護顧客飲食健康。,2026/12/02 00:00:00,24.621134,121.815061,餐飲,B000405,07:00,22:00,2024/05/02 10:30:07
2020113000044,摩斯漢堡-汐止夢想社區店,新北市汐止區湖前街32號,星期一，星期二，星期三，星期四，星期五，星期六，星期日,安心食品為台灣第一家引進的日式速食業者（MOS），以提供好吃的摩斯米漢 堡為特色，深耕在地，邁入第29個年頭。摩斯漢堡極度重視食品安全，以高規格、 高品質致力於提升顧客服務與維護顧客飲食健康。,2026/12/02 00:00:00,25.06917,121.632605,餐飲,B000378,06:00,23:00,2024/05/02 10:30:07
2020113000043,摩斯漢堡-士林中正店,臺北市士林區中正路313號1、2樓,星期一，星期二，星期三，星期四，星期五，星期六，星期日,安心食品為台灣第一家引進的日式速食業者（MOS），以提供好吃的摩斯米漢 堡為特色，深耕在地，邁入第29個年頭。摩斯漢堡極度重視食品安全，以高規格、 高品質致力於提升顧客服務與維護顧客飲食健康。,2026/12/02 00:00:00,25.094608,121.523486,餐飲,B000360,07:00,22:00,2024/05/02 10:30:06
2020113000041,摩斯漢堡-高雄美術東店,高雄市鼓山區美術東二路47號1、2樓,星期一，星期二，星期三，星期四，星期五，星期六，星期日,安心食品為台灣第一家引進的日式速食業者（MOS），以提供好吃的摩斯米漢 堡為特色，深耕在地，邁入第29個年頭。摩斯漢堡極度重視食品安全，以高規格、 高品質致力於提升顧客服務與維護顧客飲食健康。,2026/12/02 00:00:00,22.652377,120.287755,餐飲,B000440,07:30,21:30,2024/05/02 10:30:05
2020113000039,摩斯漢堡-桃園中正店,桃園市桃園區中正路523號1、2樓,星期一，星期二，星期三，星期四，星期五，星期六，星期日,安心食品為台灣第一家引進的日式速食業者（MOS），以提供好吃的摩斯米漢 堡為特色，深耕在地，邁入第29個年頭。摩斯漢堡極度重視食品安全，以高規格、 高品質致力於提升顧客服務與維護顧客飲食健康。,2026/12/02 00:00:00,25.002925,121.305724,餐飲,B000423,07:00,20:00,2024/05/02 10:30:05
2020113000038,摩斯漢堡-台積電18廠店,臺南市安定區北園二路8號(台積電員工餐廳內),星期一，星期二，星期三，星期四，星期五，星期六，星期日,安心食品為台灣第一家引進的日式速食業者（MOS），以提供好吃的摩斯米漢 堡為特色，深耕在地，邁入第29個年頭。摩斯漢堡極度重視食品安全，以高規格、 高品質致力於提升顧客服務與維護顧客飲食健康。,2026/12/02 00:00:00,23.116191,120.263163,餐飲,B000418,06:00,23:00,2024/05/02 10:30:05
2020113000036,摩斯漢堡-永和秀山店,新北市永和區民生路46巷56號1樓,星期一，星期二，星期三，星期四，星期五，星期六，星期日,安心食品為台灣第一家引進的日式速食業者（MOS），以提供好吃的摩斯米漢 堡為特色，深耕在地，邁入第29個年頭。摩斯漢堡極度重視食品安全，以高規格、 高品質致力於提升顧客服務與維護顧客飲食健康。,2026/12/02 00:00:00,24.996513,121.52083,餐飲,B000386,07:00,20:00,2024/05/02 10:30:04
2020113000034,摩斯漢堡-三重愛買店,新北市三重區中正北路193巷45號1樓,星期一，星期二，星期三，星期四，星期五，星期六，星期日,安心食品為台灣第一家引進的日式速食業者（MOS），以提供好吃的摩斯米漢 堡為特色，深耕在地，邁入第29個年頭。摩斯漢堡極度重視食品安全，以高規格、 高品質致力於提升顧客服務與維護顧客飲食健康。,2026/12/02 00:00:00,25.071082,121.475585,餐飲,B000365,08:00,18:00,2024/05/02 10:30:03
